CustomerID,Age,TotalSpend,AvgSpend,NumTransactions,TotalInteractions,NumComplaints,Unresolved,LoginFrequency,DaysSinceLastLogin,ChurnStatus,Gender_M,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Widowed,IncomeLevel_Low,IncomeLevel_Medium,TopCategory_Clothing,TopCategory_Electronics,TopCategory_Furniture,TopCategory_Groceries,ServiceUsage_Online Banking,ServiceUsage_Website
1,1.2296280895906782,-1.1521961328580568,2.2087066346646593,-1.5579540466010575,-1.223521960580991,-0.6128760912054596,-1.5078647910441039,0.5757024663120962,-1.021557211914813,0,True,False,True,False,True,False,False,True,False,False,False,False
2,1.4265471238495815,0.3797578126135717,-0.3663982512628169,0.7478486864049475,-1.223521960580991,-0.6128760912054596,-1.5078647910441039,-1.4885126082490794,-1.4507628935932275,1,True,True,False,False,True,False,False,True,False,False,False,True
3,-1.6585177462065699,0.5904807247183774,0.46065523671133224,0.36354823090394667,-1.223521960580991,-0.6128760912054596,-1.5078647910441039,-1.6308722685636434,-1.2600048128472656,0,True,False,True,False,True,False,False,False,True,False,False,True
4,-1.4615987119476666,-0.47382169757285814,-0.861839787901401,-0.02075222459705415,1.223521960580991,-0.6128760912054596,0.35140128915824353,-1.7020520987209253,-0.47789668178882144,0,True,False,False,True,True,False,False,True,False,False,False,True
5,-1.4615987119476666,0.9948449346207011,0.01736734781488074,1.1321491419059484,0.0,-0.6128760912054596,0.35140128915824353,1.0739612774130698,-1.0787846361386018,0,True,False,False,False,False,True,False,True,False,False,False,True
6,0.9014296991591727,-0.139233376089913,-0.2109485611063881,-0.02075222459705415,-1.223521960580991,-0.6128760912054596,-1.5078647910441039,-1.7020520987209253,-0.6972684746466777,0,False,False,False,False,False,True,False,False,True,False,False,True
7,-1.06776064342986,-1.5989054072525135,-2.1363217025861787,-1.5579540466010575,0.0,-0.6128760912054596,0.35140128915824353,0.4333428059975324,1.7158212467897414,0,False,True,False,False,False,False,False,False,False,False,False,False
8,-0.41136386256684915,1.056330618475401,0.5737235883411083,0.7478486864049475,1.223521960580991,-0.6128760912054596,2.210667369360591,-0.6343546463616965,0.714341322873441,1,True,False,True,False,True,False,False,False,False,False,True,False
9,-0.280084506394247,0.06795400759760309,0.19210331394744648,-0.02075222459705415,-1.223521960580991,-0.6128760912054596,-1.5078647910441039,-0.13609583526072297,0.08483965641176643,0,True,False,False,False,False,False,True,False,False,False,False,True
10,1.6234661581084848,0.17648524774826516,-0.6488526685354009,0.7478486864049475,0.0,-0.6128760912054596,0.35140128915824353,0.21980331552568663,1.658593822565953,1,True,True,False,False,False,False,False,False,True,False,True,False
11,0.7045106649002695,0.6322703996890204,1.2898959300224844,-0.02075222459705415,1.223521960580991,-0.6128760912054596,0.35140128915824353,0.29098314568296857,1.5727526862302699,0,True,False,False,False,False,True,False,False,False,False,True,False
12,-0.14880515022164478,-1.598404202074584,-2.1314466063530983,-1.5579540466010575,1.223521960580991,-0.6128760912054596,0.35140128915824353,1.2163209377276336,-1.698748398562978,0,False,True,False,False,True,False,False,True,False,False,False,True
13,-1.2646796776887634,-1.1853569511167714,-1.5573271652826257,-0.7893531355990558,-1.223521960580991,1.216604778064569,-1.5078647910441039,-1.1326134574626698,0.008536424113381626,0,False,False,False,False,True,False,False,False,False,False,False,False
14,-0.08316547213534368,2.1355608274174145,0.8839248532002532,1.5164495974069492,1.223521960580991,1.216604778064569,0.35140128915824353,0.006263825053840878,1.687207534677847,0,True,False,False,True,False,True,False,False,False,True,True,False
15,-0.08316547213534368,0.8763573213408905,-0.12669503985657624,1.1321491419059484,1.223521960580991,1.216604778064569,2.210667369360591,1.2875007678849155,0.1992945048593436,0,True,False,False,False,False,True,False,False,False,False,True,False
16,-0.8708416091709568,1.019634271799397,-0.32211246716351566,1.5164495974069492,1.223521960580991,-0.6128760912054596,-1.5078647910441039,1.0739612774130698,1.0767816762907687,1,False,False,True,False,False,True,False,False,False,False,True,False
17,-1.5928780681202688,0.48521409126720466,-0.21986302278973457,0.7478486864049475,1.223521960580991,-0.6128760912054596,0.35140128915824353,-1.2749731177772337,-0.5637378181245043,0,True,True,False,False,True,False,False,True,False,False,True,False
18,0.8357900210728716,-0.42764309077385554,-0.772006257855077,-0.02075222459705415,-1.223521960580991,-0.6128760912054596,0.35140128915824353,0.789241956783942,-1.3458459491829484,1,False,True,False,False,False,False,False,False,False,False,False,True
19,0.9014296991591727,-0.33840147693055034,-0.5984001282143668,-0.02075222459705415,1.223521960580991,3.0460856473345976,2.210667369360591,0.9316016170985059,1.1435470045518554,0,False,False,False,False,False,False,False,False,True,False,True,False
20,-0.14880515022164478,2.043799641598569,0.7847539766750746,1.5164495974069492,-1.223521960580991,-0.6128760912054596,-1.5078647910441039,-0.7055344765189784,-0.38251764141584044,0,True,False,True,False,True,False,True,False,False,False,False,True
21,1.3609074457632804,-0.4796058762478872,-0.8730920370447806,-0.02075222459705415,0.0,-0.6128760912054596,0.35140128915824353,-0.5631748162044145,0.1897566008220455,0,True,False,False,False,False,False,False,False,False,False,False,True
22,-0.08316547213534368,0.42758904189115415,0.19658752408616303,0.36354823090394667,1.223521960580991,-0.6128760912054596,-1.5078647910441039,1.1451411075703517,0.5808106663512675,0,False,False,False,False,True,False,False,False,True,False,False,False
23,-0.5426432187394513,0.30297859778906455,1.6314030091176255,-0.40505268009805495,1.223521960580991,3.0460856473345976,0.35140128915824353,-0.4919949860471326,-0.010539383961214573,0,False,False,False,False,True,False,False,False,False,False,False,False
24,0.7701503429865705,-0.16777497906013825,-0.26647195442044036,-0.02075222459705415,-1.223521960580991,1.216604778064569,-1.5078647910441039,-0.990253797148106,-0.8594128432807454,0,True,False,False,True,False,True,True,False,False,False,False,False
25,-0.01752579404904259,-0.6804265995671043,0.0797828535287174,-0.7893531355990558,-1.223521960580991,-0.6128760912054596,-1.5078647910441039,0.0774436552111228,1.3438429893351156,0,False,True,False,False,True,False,False,False,False,True,False,False
26,-0.8052019310846557,-0.9418796033299514,-0.7679129338107252,-0.7893531355990558,-1.223521960580991,1.216604778064569,-1.5078647910441039,1.3586805980421974,-0.8117233230942549,1,True,False,True,False,False,True,False,False,False,False,False,False
27,-1.1334003215161612,1.2781071366664445,0.3617698387943976,1.1321491419059484,-1.223521960580991,-0.6128760912054596,0.35140128915824353,-0.2784554955752868,-0.8307991311688511,0,True,False,False,True,False,True,True,False,False,False,False,False
